nameOrig,total_transactions,avg_amount,max_amount,total_amount,std_amount,avg_balance_before,avg_balance_delta,cashout_count,transfer_count,cashout_ratio,unique_destinations,is_anomaly,risk_score,risk_level
C7162498,1,10000000.0,10000000.0,10000000.0,0.0,12930418.0,9999999.5,0,1,0.0,1,1,0.11528648253895968,HIGH
C416779475,1,10000000.0,10000000.0,10000000.0,0.0,11861008.0,9999999.625,0,1,0.0,1,1,0.11419599925966117,HIGH
C490803833,1,2537071.5,2537071.5,2537071.5,0.0,16333133.0,2537071.0,0,1,0.0,1,1,0.10957787240555694,HIGH
C666654362,1,5460003.0,5460003.0,5460003.0,0.0,5460003.0,5460003.0,0,1,0.0,1,1,0.10876566223540751,HIGH
C135832352,1,6188515.0,6188515.0,6188515.0,0.0,6188515.0,6188515.0,0,1,0.0,1,1,0.10849510863715384,HIGH
C576568419,1,3964130.0,3964130.0,3964130.0,0.0,3964130.0,3964130.0,0,1,0.0,1,1,0.10826476222339165,HIGH
C735463888,1,4022667.5,4022667.5,4022667.5,0.0,4022667.5,4022667.5,0,1,0.0,1,1,0.10826476222339165,HIGH
C767243506,1,3477438.5,3477438.5,3477438.5,0.0,3477438.5,3477438.5,0,1,0.0,1,1,0.10772408532530664,HIGH
C413032508,1,4838196.0,4838196.0,4838196.0,0.0,2366545.75,2366545.75,0,1,0.0,1,1,0.10664382835439523,HIGH
C1263304408,1,3459573.75,3459573.75,3459573.75,0.0,2289340.25,2289340.25,0,1,0.0,1,1,0.10664382835439523,HIGH
C2050703310,1,10000000.0,10000000.0,10000000.0,0.0,10000000.0,10000000.0,1,0,1.0,1,1,0.10627802397526964,HIGH
C351297720,1,10000000.0,10000000.0,10000000.0,0.0,10000000.0,10000000.0,1,0,1.0,1,1,0.10627802397526964,HIGH
C573945223,1,2962079.75,2962079.75,2962079.75,0.0,3074572.25,2962079.90625,0,1,0.0,1,1,0.10583459437483222,HIGH
C1881678729,1,4201421.5,4201421.5,4201421.5,0.0,629989.6875,629989.6875,0,1,0.0,1,1,0.10579460065326884,HIGH
C2081788795,1,2927005.25,2927005.25,2927005.25,0.0,2927005.25,2927005.25,0,1,0.0,1,1,0.10556503216907998,HIGH
C2047521920,1,2930418.5,2930418.5,2930418.5,0.0,2930418.5,2930418.5,0,1,0.0,1,1,0.10556503216907998,HIGH
C1514972762,1,3424071.0,3424071.0,3424071.0,0.0,808064.25,808064.25,0,1,0.0,1,1,0.10525559446744404,HIGH
C978862982,1,3349943.5,3349943.5,3349943.5,0.0,530740.0625,530740.0625,0,1,0.0,1,1,0.10498622810027136,HIGH
C812012253,1,3945675.25,3945675.25,3945675.25,0.0,906057.25,906057.25,0,1,0.0,1,1,0.10475689248223896,HIGH
C1886963102,1,3076672.75,3076672.75,3076672.75,0.0,656890.0,656890.0,0,1,0.0,1,1,0.10444776866327099,HIGH
C2094614616,1,3554152.0,3554152.0,3554152.0,0.0,877649.75,877649.75,0,1,0.0,1,1,0.10421858815809981,HIGH
C1435393377,1,3658316.75,3658316.75,3658316.75,0.0,1272760.125,1272760.125,0,1,0.0,1,1,0.10421858815809981,HIGH
C1487780787,1,3311474.0,3311474.0,3311474.0,0.0,449901.1875,449901.1875,0,1,0.0,1,1,0.10417867553182081,HIGH
C1371778042,1,3117942.75,3117942.75,3117942.75,0.0,1621665.125,1621665.125,0,1,0.0,1,1,0.10394957254373394,HIGH
C1032959800,1,2957955.0,2957955.0,2957955.0,0.0,1563973.5,1563973.5,0,1,0.0,1,1,0.10394957254373394,HIGH
C1405787544,1,3014934.25,3014934.25,3014934.25,0.0,1472402.875,1472402.875,0,1,0.0,1,1,0.10394957254373394,HIGH
C1825624948,1,2802396.25,2802396.25,2802396.25,0.0,3296909.0,2802396.09375,0,1,0.0,1,1,0.103680647920118,HIGH
C861395463,1,3887312.5,3887312.5,3887312.5,0.0,387838.4375,387838.4375,0,1,0.0,1,1,0.10364076228904251,HIGH
C272495134,1,3008169.75,3008169.75,3008169.75,0.0,536746.875,536746.875,0,1,0.0,1,1,0.10364076228904251,HIGH
C984827805,1,3591108.0,3591108.0,3591108.0,0.0,397930.0,397930.0,0,1,0.0,1,1,0.10364076228904251,HIGH
C1339334154,1,3052191.0,3052191.0,3052191.0,0.0,572712.625,572712.625,0,1,0.0,1,1,0.10364076228904251,HIGH
C1792724213,1,2999828.25,2999828.25,2999828.25,0.0,531923.4375,531923.4375,0,1,0.0,1,1,0.10364076228904251,HIGH
C1676803066,1,2900409.25,2900409.25,2900409.25,0.0,3176364.0,2900409.21875,0,1,0.0,1,1,0.10341181425647572,HIGH
C1620883972,1,3172497.0,3172497.0,3172497.0,0.0,1142456.0,1142456.0,0,1,0.0,1,1,0.10341181425647572,HIGH
C1793869430,1,2952815.5,2952815.5,2952815.5,0.0,959562.625,959562.625,0,1,0.0,1,1,0.1028744196860587,HIGH
C90778223,1,3143948.25,3143948.25,3143948.25,0.0,1263936.75,1263936.75,0,1,0.0,1,1,0.1028744196860587,HIGH
C2097765652,1,3055198.25,3055198.25,3055198.25,0.0,942705.625,942705.625,0,1,0.0,1,1,0.1028744196860587,HIGH
C552420044,1,2945511.0,2945511.0,2945511.0,0.0,504836.0,504836.0,0,1,0.0,1,1,0.1028345745135576,HIGH
C585101681,1,2969984.5,2969984.5,2969984.5,0.0,407695.5625,407695.5625,0,1,0.0,1,1,0.10229757036355969,HIGH
C866232665,1,3009880.25,3009880.25,3009880.25,0.0,365796.84375,365796.84375,0,1,0.0,1,1,0.10229757036355969,HIGH
C1218418698,1,2869830.25,2869830.25,2869830.25,0.0,549036.5625,549036.5625,0,1,0.0,1,1,0.1020292045064588,HIGH
C1588880909,1,5460003.0,5460003.0,5460003.0,0.0,5460003.0,5460003.0,1,0,1.0,1,1,0.10178398870061145,HIGH
C686187434,1,6188515.0,6188515.0,6188515.0,0.0,6188515.0,6188515.0,1,0,1.0,1,1,0.10151579655528853,HIGH
C2022385982,1,2799207.5,2799207.5,2799207.5,0.0,661675.75,661675.75,0,1,0.0,1,1,0.10149274507449102,HIGH
C79951219,1,4022667.5,4022667.5,4022667.5,0.0,4022667.5,4022667.5,1,0,1.0,1,1,0.10124769512218879,HIGH
